cod;nombre;categoria;precio_compra;precio_venta;margen_pct
MRC-4T-1L;Aceite Mercury 4T SAE 10W-30 1L;Lubricantes;9.20;11.20;17.9
MRC-4T-4L;Aceite Mercury 4T SAE 10W-30 4L;Lubricantes;32.00;39.00;17.9
MRC-4T-25L;Aceite Mercury 4T SAE 10W-30 25L;Lubricantes;185.00;225.00;17.8
MRC-2T-1L;Aceite Mercury 2T TCW-3 1L;Lubricantes;7.80;9.80;20.4
QSV-HPS-1L;QuickSilver High Performance Gear Lube 1L;Lubricantes;11.50;14.90;22.8
QSV-PST-200;QuickSilver Power Steering Fluid 200ml;Lubricantes;5.20;7.50;30.7
QSV-ANF-1L;QuickSilver Antifreeze Coolant 1L;Lubricantes;4.80;6.80;29.4
MRC-DFI-4L;Aceite Mercury DFI 2T 4L;Lubricantes;38.00;46.00;17.4
MRC-FLT-OIL;Filtro Aceite Mercury 4T 35-8M0065103;Filtros;6.80;9.50;28.4
MRC-FLT-FUEL;Filtro Combustible Mercury 35-8M0018476;Filtros;4.20;6.20;32.3
MRC-FLT-WTR;Filtro Agua Cruda Mercury 35-8M0113864;Filtros;5.50;7.80;29.5
QSV-WSEP;QuickSilver Water Separating Fuel Filter;Filtros;8.90;12.50;28.8
SIR-FLT-FUE;Filtro Combustible Sierra 18-7905;Filtros;3.80;5.90;35.6
SIR-WFLT;Filtro Agua Dulce Sierra 18-3491;Filtros;7.20;10.80;33.3
JAB-18590;"Impulsor Jabsco 18590-0001 (1-1/4"")";Impulsores;18.50;27.00;31.5
JAB-17937;Impulsor Jabsco 17937-0001;Impulsores;14.20;21.00;32.4
JAB-6303;Impulsor Jabsco 6303-0003;Impulsores;22.50;33.00;31.8
SIR-IMP-18;Impulsor Sierra 18-3082;Impulsores;11.80;17.50;32.6
SIR-IMP-MRC;Impulsor Sierra 18-3214 Mercury 40-125HP;Impulsores;13.50;19.80;31.8
SIR-IMP-VOL;Impulsor Sierra 18-3086 Volvo Penta;Impulsores;15.20;22.50;32.4
AZN-MRC75;Anodo Zinc Mercury 75-90HP 97-826134Q3;Anodos;6.80;10.50;35.2
AZN-MRC150;Anodo Zinc Mercury 115-150HP 97-826133Q3;Anodos;8.20;12.80;35.9
AZN-TAB40;Anodo Zinc Tablilla Mercury 40-60HP;Anodos;4.50;7.20;37.5
AMG-MRC75;Anodo Magnesio Mercury 75-90HP;Anodos;9.50;14.80;35.8
AZN-CASC;Anodo Zinc Casco Universal 2kg;Anodos;12.40;19.50;36.4
HLC-MRC-B1;Helice Mercury BlackMax 10.5x13 3P Aluminio;Helices;68.00;95.00;28.4
HLC-MRC-B2;Helice Mercury BlackMax 13x19 3P Aluminio;Helices;75.00;108.00;30.6
HLC-MRC-B3;Helice Mercury BlackMax 15x17 3P Aluminio;Helices;72.00;102.00;29.4
HLC-MRC-SS1;Helice Mercury Enertia 14x19 3P Inox;Helices;195.00;280.00;30.4
HLC-MRC-SS2;Helice Mercury Bravo 15.5x21 3P Inox;Helices;310.00;445.00;30.3
MRC-TSTAT;Termostato Mercury 75-90HP 17286A2;Refrigeracion;12.80;19.50;34.4
MRC-TBOMBA;Tapa Bomba Agua Mercury 200-225HP 817275A1;Refrigeracion;22.50;34.00;33.8
SIR-KIT-WP;Kit Revision Bomba Agua Sierra 18-3214;Refrigeracion;28.50;42.00;32.1
MRC-KIT-WP;Kit Revision Bomba Agua Mercury 8M0100526;Refrigeracion;35.00;52.00;32.7
SIM-GO9XSE;Simrad GO9 XSE Multifuncion + Sonda HDI;Electronica;680.00;895.00;24.0
SIM-GO12XSE;Simrad GO12 XSE Multifuncion + Sonda HDI;Electronica;920.00;1190.00;22.7
SIM-NSS9;Simrad NSS9 evo3S Multifuncion;Electronica;1150.00;1490.00;22.8
SIM-NSS12;Simrad NSS12 evo3S Multifuncion;Electronica;1480.00;1920.00;22.9
SIM-VHF-RS35;VHF Fijo Simrad RS35 DSC + AIS;Electronica;195.00;265.00;26.4
MRC-BLTALT;Correa Alternador Mercury 200-250HP 57-8M0148985;Transmision;18.50;28.00;33.9
MRC-BLTPS;Correa Power Steering Mercury Verado 4L;Transmision;14.80;22.50;34.2
MRC-ACPR;Kit Pasamuros Mercury 4T 25-8M0060321;Transmision;9.20;14.50;36.6
QSV-EC;QuickSilver Engine Cleaner Spray 400ml;Mantenimiento;4.20;6.90;39.1
MRC-KIT-STR;Kit Arranque Emergencia Mercury 8M0097859;Mantenimiento;22.00;34.00;35.3
MRC-SPARK;Bujia NGK BPZ8HS-10 Mercury (pack 4u);Mantenimiento;8.50;13.50;37.0
SIR-CRANK;Sensor Ciguenyal Sierra 18-5911;Mantenimiento;32.00;48.00;33.3
JAB-KIT-SRV;Kit Mantenimiento Bomba Jabsco Par-Mak 6 GPM;Mantenimiento;45.00;68.00;33.8
MRC-ANODE-KT;Kit Anodos Revision Motor Mercury 150HP;Mantenimiento;38.00;57.00;33.3
SIR-BELT-KT;Kit Correas Sierra Mercury 4.3L V6;Mantenimiento;24.50;37.00;33.8
MRC-IMPKIT;Kit Impulsor + Junta Mercury 40-60HP;Mantenimiento;32.00;48.50;34.0
SIR-TSTAT-KT;Kit Termostato + Junta Sierra 18-3672;Mantenimiento;14.80;22.00;32.7
