fecha;cod_producto;unidades;precio_real
2020-01;MRC-4T-1L;19;11.20
2020-02;MRC-4T-1L;18;11.20
2020-03;MRC-4T-1L;23;11.20
2020-04;MRC-4T-1L;23;11.20
2020-05;MRC-4T-1L;25;11.20
2020-06;MRC-4T-1L;28;11.20
2020-07;MRC-4T-1L;25;11.20
2020-08;MRC-4T-1L;25;11.20
2020-09;MRC-4T-1L;24;11.20
2020-10;MRC-4T-1L;21;11.20
2020-11;MRC-4T-1L;19;11.20
2020-12;MRC-4T-1L;19;11.20
2021-01;MRC-4T-1L;23;11.36
2021-02;MRC-4T-1L;22;11.36
2021-03;MRC-4T-1L;24;11.36
2021-04;MRC-4T-1L;27;11.36
2021-05;MRC-4T-1L;31;11.36
2021-06;MRC-4T-1L;34;11.36
2021-07;MRC-4T-1L;30;11.36
2021-08;MRC-4T-1L;30;11.36
2021-09;MRC-4T-1L;29;11.36
2021-10;MRC-4T-1L;25;11.36
2021-11;MRC-4T-1L;23;11.36
2021-12;MRC-4T-1L;22;11.36
2022-01;MRC-4T-1L;27;11.51
2022-02;MRC-4T-1L;27;11.51
2022-03;MRC-4T-1L;29;11.51
2022-04;MRC-4T-1L;33;11.51
2022-05;MRC-4T-1L;37;11.51
2022-06;MRC-4T-1L;35;11.51
2022-07;MRC-4T-1L;36;11.51
2022-08;MRC-4T-1L;36;11.51
2022-09;MRC-4T-1L;30;11.51
2022-10;MRC-4T-1L;30;11.51
2022-11;MRC-4T-1L;28;11.51
2022-12;MRC-4T-1L;27;11.51
2023-01;MRC-4T-1L;33;11.67
2023-02;MRC-4T-1L;27;11.67
2023-03;MRC-4T-1L;34;11.67
2023-04;MRC-4T-1L;40;11.67
2023-05;MRC-4T-1L;44;11.67
2023-06;MRC-4T-1L;42;11.67
2023-07;MRC-4T-1L;43;11.67
2023-08;MRC-4T-1L;43;11.67
2023-09;MRC-4T-1L;36;11.67
2023-10;MRC-4T-1L;36;11.67
2023-11;MRC-4T-1L;33;11.67
2023-12;MRC-4T-1L;28;11.67
2024-01;MRC-4T-1L;39;11.83
2024-02;MRC-4T-1L;33;11.83
2024-03;MRC-4T-1L;41;11.83
2024-04;MRC-4T-1L;48;11.83
2024-05;MRC-4T-1L;46;11.83
2024-06;MRC-4T-1L;51;11.83
2024-07;MRC-4T-1L;52;11.83
2024-08;MRC-4T-1L;51;11.83
2024-09;MRC-4T-1L;44;11.83
