fecha;cod_producto;stock_disponible
2020-01;MRC-4T-1L;66
2020-02;MRC-4T-1L;66
2020-03;MRC-4T-1L;66
2020-04;MRC-4T-1L;66
2020-05;MRC-4T-1L;66
2020-06;MRC-4T-1L;66
2020-07;MRC-4T-1L;66
2020-08;MRC-4T-1L;66
2020-09;MRC-4T-1L;66
2020-10;MRC-4T-1L;65
2020-11;MRC-4T-1L;66
2020-12;MRC-4T-1L;66
2021-01;MRC-4T-1L;67
2021-02;MRC-4T-1L;68
2021-03;MRC-4T-1L;67
2021-04;MRC-4T-1L;67
2021-05;MRC-4T-1L;68
2021-06;MRC-4T-1L;68
2021-07;MRC-4T-1L;67
2021-08;MRC-4T-1L;67
2021-09;MRC-4T-1L;68
2021-10;MRC-4T-1L;67
2021-11;MRC-4T-1L;67
2021-12;MRC-4T-1L;68
2022-01;MRC-4T-1L;69
2022-02;MRC-4T-1L;69
2022-03;MRC-4T-1L;68
2022-04;MRC-4T-1L;69
2022-05;MRC-4T-1L;69
2022-06;MRC-4T-1L;68
2022-07;MRC-4T-1L;69
2022-08;MRC-4T-1L;69
2022-09;MRC-4T-1L;68
2022-10;MRC-4T-1L;68
2022-11;MRC-4T-1L;69
2022-12;MRC-4T-1L;69
2023-01;MRC-4T-1L;70
2023-02;MRC-4T-1L;71
2023-03;MRC-4T-1L;70
2023-04;MRC-4T-1L;70
2023-05;MRC-4T-1L;71
2023-06;MRC-4T-1L;70
2023-07;MRC-4T-1L;70
2023-08;MRC-4T-1L;70
2023-09;MRC-4T-1L;70
2023-10;MRC-4T-1L;70
2023-11;MRC-4T-1L;70
2023-12;MRC-4T-1L;69
2024-01;MRC-4T-1L;72
2024-02;MRC-4T-1L;71
2024-03;MRC-4T-1L;71
2024-04;MRC-4T-1L;72
2024-05;MRC-4T-1L;71
2024-06;MRC-4T-1L;71
2024-07;MRC-4T-1L;72
2024-08;MRC-4T-1L;72
2024-09;MRC-4T-1L;71
2024-10;MRC-4T-1L;71
2024-11;MRC-4T-1L;72
2024-12;MRC-4T-1L;71
2025-01;MRC-4T-1L;73
2025-02;MRC-4T-1L;72
2025-03;MRC-4T-1L;73
2025-04;MRC-4T-1L;73
2025-05;MRC-4T-1L;72
2025-06;MRC-4T-1L;73
2025-07;MRC-4T-1L;73
2025-08;MRC-4T-1L;72
2025-09;MRC-4T-1L;72
2025-10;MRC-4T-1L;73
2025-11;MRC-4T-1L;72
2025-12;MRC-4T-1L;72
2020-01;MRC-4T-4L;24
2020-02;MRC-4T-4L;24
2020-03;MRC-4T-4L;24
2020-04;MRC-4T-4L;24
2020-05;MRC-4T-4L;24
2020-06;MRC-4T-4L;24
